time,v_train,Ptraction,Pregen,Fregen,Fmechanical,Pdc,Usc,SOCsc,Esc_kJ,Eregen_kJ,traction_command,service_brake_request
33.9,7.42058827270946,0,533685.498798561,69869.9067511916,10953.1107854887,-533685.498798561,687.686577138148,0.398058622099967,28374.7697025589,1589.10529013659,0,1
34,7.32121096184955,0,533168.674927625,70712.4720437962,10130.0932488084,-533168.674927625,688.307727993714,0.399584872171195,28426.0517049521,1640.41070375552,0,1
34.1,7.22182482610946,0,532636.514857806,71575.2977651646,9287.52795620383,-532636.514857806,688.927735843134,0.401109687882048,28477.2855128368,1691.66860889448,0,1
34.2,7.12242883809654,0,532088.448971473,72459.1313050916,8424.70223483536,-532088.448971473,689.546586601537,0.40263302695327,28528.4697056299,1742.87760923333,0,1
34.3,7.02302192969695,0,531523.876548437,73364.7572131892,7540.86869490839,-531523.876548437,690.164265604648,0.404154845567149,28579.6028110562,1794.03625834304,0,1
34.4,6.92360298920166,0,530942.164627529,74292.9996832095,6635.24278681085,-530942.164627529,690.780757575048,0.405675098278496,28630.6833021575,1845.14305660684,0,1
34.5,6.8241708583835,0,529509.330812368,75126.4948243375,5707.00031679054,-529509.330812368,691.396046588665,0.407193737925777,28681.7095943061,1896.1964482318,0,1
34.6,6.72486331575813,0,525014.992738667,75543.1880545667,4873.5051756625,-525014.992738667,692.010116040105,0.408710715538999,28732.6800421104,1947.19481820824,0,1
34.7,6.62605874714038,0,519009.874329087,75751.4746270287,4456.81194543331,-519009.874329087,692.621986101466,0.41022359934132,28783.5129378683,1998.09648998936,0,1
34.8,6.52751191736461,0,512259.046455744,75855.551932557,4248.52537297127,-512259.046455744,693.228129564519,0.411723642177716,28833.9143771713,2048.71365751981,0,1
34.9,6.42910011545548,0,505152.733821045,75907.881997095,4144.44806744295,-505152.733821045,693.826819471868,0.413206527532942,28883.7393251069,2098.82685113906,0,1
35,6.33076146495068,0,497913.143371813,75935.6887036086,4092.11800290502,-497913.143371813,694.417216011222,0.41467012480853,28932.9161935666,2148.32775933673,0,1
35.1,6.23246376656703,0,490610.535528961,75951.5820471674,4064.31129639142,-490610.535528961,694.998931126437,0.416113418333733,28981.4108560134,2197.16352479002,0,1
35.2,6.13419200475338,0,483270.95778589,75960.5561788374,4048.41795283256,-483270.95778589,695.571833311474,0.417536027314795,29029.2105177771,2245.31068689528,0,1
35.3,6.03594011881955,0,475910.43260927,75965.5878322003,4039.44382116264,-475910.43260927,696.135871905141,0.418937771702021,29076.3091291879,2292.75982348251,0,1
35.4,5.93770442051634,0,468538.331359331,75968.4021485278,4034.41216779966,-468538.331359331,696.691025983247,0.420318545867123,29122.7031411353,2339.50613516162,0,1
35.5,5.83948269344723,0,461160.152801147,75969.9842844729,4031.59785147221,-461160.152801147,697.237292733087,0.421678289960293,29168.3905426658,2385.54684190059,0,1
35.6,5.74127359145102,0,453779.151526925,75970.8951957357,4030.01571552707,-453779.151526925,697.774679755535,0.423016970907033,29213.3702224763,2430.88038257109,0,1
35.7,5.6430762672672,0,446397.068253336,75971.4449918743,4029.10480426425,-446397.068253336,698.303200588699,0.424334571343608,29257.6415971452,2475.50590981079,0,1
35.8,5.5448901686831,0,439014.795813208,75971.7987841654,4028.55500812568,-439014.795813208,698.822872117723,0.425631083205114,29301.2043956918,2519.42299641854,0,1
35.9,5.4467149140658,0,431632.794016394,75972.0452550435,4028.20121583456,-431632.794016394,699.333712832485,0.426906503400123,29344.0585142441,2562.63145496799,0,1
36,5.34855021173279,0,424251.298079945,75972.2323273233,4027.9547449565,-424251.298079945,699.835741854737,0.428160831388161,29386.2039346422,2605.13122444318,0,1
36.1,5.25039581800862,0,416870.426686372,75972.3860393457,4027.76767267669,-416870.426686372,700.328978443557,0.429394067942494,29427.6406828678,2646.922308755,0,1
36.2,5.15225151502903,0,409490.237611752,75972.5206283416,4027.61396065433,-409490.237611752,700.813441740899,0.430606214508436,29468.3688074835,2688.00474517563,0,1
36.3,5.05411709888297,0,402110.755789835,75972.6438944617,4027.47937165841,-402110.755789835,701.289150641461,0.431797272870397,29508.3883684453,2728.37858796441,0,1
36.4,4.95599237330385,0,394731.988343131,75972.7600986717,4027.35610553832,-394731.988343131,701.75612372647,0.432967244977859,29547.6994312561,2768.04389985072,0,1
36.5,4.85787714626066,0,387353.932800655,75972.8715645598,4027.23990132828,-387353.932800655,702.214379229637,0.434116132851545,29586.3020638119,2807.000747534,0,1
36.6,4.759771228073,0,379976.581546912,75972.9795579418,4027.1284354402,-379976.581546912,702.663935020301,0.435243938532525,29624.1963346928,2845.24919925238,0,1
36.7,4.66167443037543,0,372599.92422219,75973.0847682243,4027.02044205816,-372599.92422219,703.104808595913,0.436350664054813,29661.3823122417,2882.78932346728,0,1
36.8,4.56358656555002,0,365223.949009496,75973.1875711881,4026.91523177571,-365223.949009496,703.537017079535,0.437436311430661,29697.8600640702,2919.62118815596,0,1
